title,volume,year,floor,row,section,notes
Arquivos Medicos Municipais,1-8,1949-56,7th Floor,Row J,,
Arquivos Mineiros de Leprologia,1-9,1941-1949,3rd Floor,Row J,,
Arquivos Mineiros de Leprologia,1-21,n/a,7th Floor,Row J,,
Arquivos Portugueses de Oftalmologia,11,1959,7th Floor,Row J,,
Arquivos Rio Grandenses de Medicina. (Porto Alegre),10-21,1931-1943,3rd Floor,Row J,,
"Ars Medica, Barcelona",2-12,,3rd Floor,Row J,,
Ars Medici (German edition),40-71,1950-1981,7th Floor,Row I,,
Ars Medici. English Edition,1-17,,3rd Floor,"End Range J, South End Side 1",,
Ars Medici. Revue Internationale Pour le Medicin Practicien,1-2,1927-1932/1946-1949,3rd Floor,"Start Range K, south End Side 1",,
Ars Medici. Revue Internationale Pour le Medicin Praticien.,5-18,1950-63,7th Floor,Row J,,
Arsenal Medico-Chirurgical Contemporain,N1,1894,3rd Floor,Row K,,
Arsts,1-8,,3rd Floor,Row K,,
Art Dentaire,"4,32-37","1860,1888-1893",3rd Floor,Row K,,
Art et Medicine,,"1930-1936,1938-1939",3rd Floor,Row K,,
Art Medical,23-24,,3rd Floor,Row K,,
Art Medical d Anvers,,1907-1940,3rd Floor,Row K,,
Arte Medica,1-4,,3rd Floor,Row K,,
Arteriosclerosis,1-10,1981-90,7th Floor,Row J,,
Arteriosclerosis and Thrombosis,11-14,1991-94,7th Floor,Row J,,
Arthritis and Rheumatic Diseases Abstracts,1-6,1964-70,7th Floor,Row J,,
Arthritis and Rheumatism (some unbound on shelf),1-54,1958-2006,7th Floor,Row J,,
Arthritis Care and Research (unbound placed on shelf),49-55,6/1/2003,7th Floor,Row J,,
Arthropod-Borne Visus Information Exchange,"1,9","19,601,964",7th Floor,Row J,,
Arthroscopy (some unbound on shelf),1-24,1985-2008,7th Floor,Row J,,
Artificial Limbs,1-16,1954-1972,7th Floor,Row J,,
Artzliche monatshefte fur berufliche fortbildung,5,1949-1953,7th Floor,Row J,,
Arzneimittel Forschung,1-42,1951-92,CPR,,,
Arzneimittel-Forschung. Supplement,6-26,1956-1974,7th Floor,Row J,,
Arzt und Patient,63,?,7th Floor,Row J,,
Arztliche Forschung,4-26,1950-72,CPR,,,
Arztliche Kosmetik,"1,2,4","1956,57,69",7th Floor,Row J,,
Arztliche Mitteilungen,"41,42,45-48",1959-63,7th Floor,Row J,,
Arztliche Rundschau,36,1926,3rd Floor,Row K,,
Arztliche Sachverstandigenzeitung,42,1936,3rd Floor,Row K,,
Arztliche Wochenschrift,5-15,1950-60,CPR,,,
Asaio Journal,38-45,1992-1999,7th Floor,Row J,,
Aschoffs-Vorlesungen der Freiburger Medizinischen Gesellschaft,1n1-6/2,,3rd Floor,Row K,,
Asclepiad,1-12,,3rd Floor,Row K,,
Asclepiade,1-2,1823-1824,3rd Floor,Row K,,
Asclepios (Havana),1-14,,3rd Floor,Row K,,
Asclepios (Paris),3-5,,3rd Floor,Row K,,
Ascp News Bulletin,1-2,1960-64,7th Floor,Row J,,
Asculape,20,1930,3rd Floor,Row K,,
ASHA,1-33,1959-1991,7th Floor,Row J,,
ASHA mono,12-27,1965-1992,7th Floor,Row J,,
Asheville Medical Review,1,,3rd Floor,Row K,,
Ash's Journal,,1917-1918,3rd Floor,Row K,,
Ash's Monthly,,1911-1916,3rd Floor,Row K,,
Ash's Quarterly Circular,,1908-1910,3rd Floor,Row K,,
Ash's Vierteljahrs-Fachblatt,1/3-9,1905-1913,3rd Floor,Row K,,
Asian Journal of Infectious Diseases,1-3,1977-1979,7th Floor,Row J,,
Asian Journalof Medicine,8-10,1972-1974,7th Floor,Row J,,
Asian Medical Journal,1-43,1958-2000,7th Floor,Row J,,
Asian Pacific Journal of Allergy and Immunology  (unbound placed on shelf),17-22,1999-2004,7th Floor,Row J,,
Askeri Sihhiye Mecmuasi,67-73,1938-1944,3rd Floor,Row K,,
Asklepios,,1933-1939/1940,3rd Floor,Row K,,
Asklepios Bibliothek,1,1951,7th Floor,Row J,,
Asociacion Espanola de Neuropsiquiatras Reunion Annual,1,,3rd Floor,Row K,,
Aspects of Allergy and Applied Immunology,1-2,1967-1969,7th Floor,Row J,,
Assays in Medical Biochemistry,4,1979,7th Floor,Row J,,
Assicurazioni Sociali,4-19,1928-1943,3rd Floor,Row K,,
Assises de medicine,19-?,1961-1976,7th Floor,Row I,,
Assistance,22,1913,3rd Floor,Row K,,
Assistance Educative et Service Social,30-34,,3rd Floor,Row K,,
Assistance Familiale,11/13-15 inc/22s,,3rd Floor,Row K,,
Assistance Hospitaliere,1-8,,3rd Floor,Row K,,
Assistance Psychiatrique,1,1952,7th Floor,Row J,,
Assistance Publique,10 inc,,3rd Floor,Row K,,
Assistenza dei Minorenni Anormali,1-6/2s 1-10,,3rd Floor,Row K,,
Assistenza Sociale,6-7,,3rd Floor,Row K,,
"Association Bulletin, International Ass'n of Milk Dealers",33,1941,3rd Floor,Row K,,
Association De Medicine Urbaine,1-7,1962-1968,7th Floor,Row J,,
Association des Infirmiers-Visiteuses de Belgique,,1927-1932,3rd Floor,Row K,,
Association for the Advancement of Psychoanalysis Bulletin,6-9,,3rd Floor,Row K,,
Association francaise de chirurgie,53-79,1950-1977,7th Floor,Row I,,
Association Francaise D'Urologie,"1-40,43",,3rd Floor,Row K,,
Association Francaise d'Urologie,46-50,1952-1966,7th Floor,Row J,,
Association Internationale de Pediatrie Preventive,"1-2,4","19,341,937",3rd Floor,Row K,,
Association Internationale des Femmes-Medicins Bulletin,1-13,1929-1938,3rd Floor,Row K,,
Association Medical Journal,1-4,,3rd Floor,Row K,,
Association of American Medical Colleges Directory,,1955,7th Floor,Row J,,
Association of Executive Health Officers of Ontario,"4-8,13",,3rd Floor,Row K,,
Association Pour le Developpement de L'Hygiene Maternelle et Infantile,"6-7,9-12,16",1925-1935,3rd Floor,Row K,,
Association Pour le Developpement des Relations Med. Auxerre (Compte-Rendu,,1923-1927,3rd Floor,Row K,,
Associations' Publications in Print,N/A,1982-1985,7th Floor,Row J,,
Asthmatic Patient,1-6,1965-1971,7th Floor,Row J,,
Asylum Journal of Mental Science,1-3,,3rd Floor,Row K,,
Ateneo Parmense,1-19,,3rd Floor,Row K,,
Ateneo Parmense,23-30,1952-1959,7th Floor,Row J,,
Ateneo Parmense Sezionel 1 Acta Bio-Medica,36 + supplements 1-5,1965,Woerishoffer Hall,,,
"Ateneo Parmense, Sezione 2 Acta Naturalia",1-5,1965-1969,7th Floor,Row J,,
Athena,3-13,,3rd Floor,Row K,,
Athena,14-24,1948-1958,7th Floor,Row J,,
Atherosclerosis,11-91,1976-1991,7th Floor,Row J,,
Athurasraman Homeopathic Medical Colege Magazine,1-3,1959-1961,7th Floor,Row J,,
Atlanta Clinic,1-7,,3rd Floor,Row K,,
Atlanta Dental Journal,1-4 inc,,3rd Floor,Row K,,
Atlanta Journal-Record of Medicine,1-12/56-64,,3rd Floor,Row K,,
Atlanta Medical and Surgical Journal,1-19/ns1-16,,3rd Floor,Row K,,
Atlanta Medical Register,1-3,,3rd Floor,Row K,,
Atlanta Medicine,45-50,1971-1976,7th Floor,Row J,,
Atlantic Journal and Friend of Knowledge,1,,3rd Floor,Row K,,
Atlantic Journal of Medicine,1-2,,3rd Floor,Row K,,
Atlantic Medical Journal,27-31,,3rd Floor,Row K,,
Atlantic Medical Weekly,3-9,,3rd Floor,Row K,,
Atlas of Cancer Mortality in Central Europe (maps) Annex 2 IARC,N/A,1996,7th Floor,Row J,,
Atmospheric Environment,1-9,1967-1974,7th Floor,Row J,,
Atomic Bomb Casualty Commission. Bibliography of the Effect of Nuclear Explosions,N/A,1945-1960,7th Floor,Row J,,
Atomics,1,1950,7th Floor,Row J,,
Atomopraxis,4-16,1958-70,CPR,,,
Attendant,1-2,1944-1945,3rd Floor,Row K,,
Atti Associazione genetica Italiana,10-16,1964-1970,7th Floor,Row J,,
Atti Congreso Nazionale D'Idrologia e di Climatologia,"1,5,7,9,19",1888-1929,3rd Floor,Row K,,
Atti Congresso Nazionale di Chirurgica Toracica,6-11,1958-1964,7th Floor,Row J,,
Atti Congresso Nazionale di Microbiologica,9,1956,7th Floor,Row J,,
Atti Congresso Nazionale d'Igiene,20-21,1958-1959,7th Floor,Row J,,
Atti Convegno Silicosi,19,1941,3rd Floor,Row K,,
Atti dei Congressi della Societa italiana di Medicine Interna,52-72,1951-1971,7th Floor,Row J,,
Atti dei Congressi della Societa Medico Chirurgica,8,1954,7th Floor,Row J,,
Atti del 1 Cngresso Nazionale per le Malattie del Lavoro,,1907,3rd Floor,Row K,,
Atti del 2 Congresso Nazionale per la Lotta Sociale Contro la Tubercolosi,,1909,3rd Floor,Row K,,
Atti del Congresso della Associazione Medica Italiana,1-12,,3rd Floor,Row K,,
Atti del Congresso della Societa dei Trapianti d Organo,1-6,1967-72,7th Floor,Row J,,
Atti del congresso della societa italiana di ortopedia e traumatologia,36-59,1951-1974,7th Floor,Row I,,
Atti del Congresso della Societa Italiano di Laringologia,1-7,1892-1903,3rd Floor,Row K,,
Atti del Congresso della Societa Italiano di Neurologia,"6,9","19,231,932",3rd Floor,Row K,,
Atti del Congresso di Medicina dello Sport (Bologna),2,1935,3rd Floor,Row K,,
Atti del Congresso di Microbiologia,2-5,1930-1934,3rd Floor,Row K,,
Atti del Congresso D'Oftalmologia,,"1924-1928,1930-1931",3rd Floor,Row K,,
Atti del Congresso Italian di Radiolgia Medica,17-19,1952-1956,7th Floor,Row J,,
Atti del Congresso Italiano di Pediatria,"22,30","19,521,964",7th Floor,Row J,,
Atti del Congresso Italiano di Radiologia Medica,1/3-6/8/10-13,,3rd Floor,Row K,,
Atti del Congresso Italiano di Tisiologia,10,1951,7th Floor,Row J,,
Atti del Congresso Nazionale di Medicina del Lavoro,5/10,,3rd Floor,Row K,,
Atti del Congresso Nazionale di Nipiologia,4,1935,3rd Floor,Row K,,
Atti del Congresso Nazionale di Ragiologia Medica E Medicine Nucleare,21,1960,7th Floor,Row J,,
Atti del Congresso Nazionale di Tisiologia,16,1962,7th Floor,Row J,,
Atti del Congresso Nazionale Sugli Antibiotici (Milano),1,1948,3rd Floor,Row K,,
Atti del Congresso Pellagrologia Italiano,"2,4","19,021,910",3rd Floor,Row K,,
Atti del Congresso Societa Italiano di Laringologia Otologia e Rinologia,1-2,1923-1924,3rd Floor,Row K,,
Atti del Convegno Medica Sulla Uricemie,,1928,3rd Floor,Row K,,
Atti del Convegno Scientifico della Federazione Ital.Nazionale Fascista Lotta Contro Tubercolosi,,1933,3rd Floor,Row K,,
Atti del Gruppo Cardiologica Italiano,6-7,,3rd Floor,Row K,,
Atti del R. Istitute Veneto di Scienze. Lettere ed Arti,86,1926/1927,3rd Floor,Row K,,
Atti dell Accademia Medico-Chirurgica di Perugia,1-6,1949-1955,7th Floor,Row J,,
Atti della Accademia dei Fisiociritici in Siena,"18-21(Ser 12),6-17(Ser 13),1-8,10-13(Ser 14),8-11(Ser 15)",1950-1992,CPR,,,
Atti della Accademia delle Scienze Mediche di Palermo,1,1957,7th Floor,Row J,,
Atti della Accademia delle Scienze Mediche e Naturali in Ferrara,67-97/1-14,1894-1923/1923-1937,3rd Floor,Row K,,
Atti della Accademia Medica Lombarda (includes supplements),15-22,1960-1967,7th Floor,Row J,,
Atti della Accademia Medica Lombarda w/Supplements,15-28,1960-73,CPR,,,
Atti della Accademia Nazionale dei Lincei. Rendiconti.  Classe di scienze Fisiche. Marematiche e Naturali,20-44,1955? -1968,7th Floor,Row J,,
Atti della Clinica Oto-Rino-Laringoiatrica della R Universita di Roma,3-4/6-7/12-19/28,,3rd Floor,Row K,,
Atti della Fondazione Scientifica Cagnola,7,,3rd Floor,Row K,,
Atti della Lega Italiana di Igiene e Profilassi Mentale,,1937-1940,3rd Floor,Row K,,
Atti della R Accademia Medico-Chirurgica di Napoli,46-55,,3rd Floor,Row K,,
Atti della R Accademia Medico-Chirurgica di Torino,1-3,,3rd Floor,Row K,,
Atti della Societa Italaina per il Progresso delle Scienze-Indici della Prima Serie,1-X,1907-1919,3rd Floor,Row K,,
Atti della Societa Italian di Urologia,n/a,1950,7th Floor,Row J,,
Atti della Societa Italiana di Allergologia,"2,5","19,541,961",7th Floor,Row J,,
Atti della Societa Italiana di Anatomia,23-24,1963-64,7th Floor,Row J,,
Atti della Societa Italiana di Anatomia,10-24,1948-64,CPR,,,
Atti della Societa Italiana di Cancerlogia Congresso Nazionale (not in OPAC),1-2,1959-60,CPR,,,
Atti della Societa Italiana di Cardiologia,8,1943,3rd Floor,Row K,,
Atti della Societa Italiana di Cardiologia,21-30,1959-69,7th Floor,Row J,,
Atti della Societa Italiana di Cardiologia,"11-29,31,33,35-36",1949-75,CPR,,,
Atti della Societa Italiana di Dermatologia e Sifilografia e delle Sezioni Regionali,1955-66,30-41,7th Floor,Row J,,
Atti della Societa Italiana di Ematologia,15-16,1957-59,7th Floor,Row J,,
Atti della Societa Italiana di Laringologia d'otologia e di Rinologia,44-45,1956-57,7th Floor,Row J,,
Atti della Societa Italiana di Ostetrica e Ginecologia,35 Suppl.,"1920-1921,1923-1931,1933,1935-1937,1939",3rd Floor,Row K,,
Atti della Societa Italiana di Patologia,8,,3rd Floor,Row K,,
Atti della Societa Italiana di Urologia,1-15,,3rd Floor,Row K,,
Atti della Societa Italiana per il Progresso della Scienze (Rome),7,,3rd Floor,Row K,,
Atti della Societa Italiana per il Progresso delle Scienze,4,1936,3rd Floor,Row K,,
Atti della Societa Lombarda di Scienze Mediche e Biologiche,1-19,,3rd Floor,Row K,,
Atti della Societa Lombarda di Scienze Mediche e Biologiche,7-11,1951-56,7th Floor,Row J,,
Atti della Societa Lombarda di Scienze Medico-Biologiche,12-14,1956-59,7th Floor,Row J,,
Atti della Societa Medico-Chirugica di Padova e della Facolta di Medicina e Chirurgia della Univerisita di Padova,28-44,1950-70,CPR,,,
Atti della Societa Medico-Chirurgica di Padova,1-27,,3rd Floor,Row K,,
Atti della Societa per gli Studi della Malaria,1-12,,3rd Floor,Row K,,
Atti delle Giornale Mediche Triestine,2/8/12-16,,3rd Floor,Row K,,
Atti delle Giornate Mediche Internazionali,1-4,1955,7th Floor,Row J,,
Atti delle Giornate Mediche Triestine,12-16,1959-63,7th Floor,Row J,,
Atti delle Societa Regionali di Ostetricia e Ginecologia,5-14,1956-65,CPR,,,
Atti e Memorie della Societa Lombarda di Chirurgia,1-4,1933-1936,3rd Floor,Row K,,
Atti e Memorie della Societa Lombarda di Medicina,5-6,1937-1938-1939,3rd Floor,Row K,,
Atti e Memorie della Societe per lo Studio delle Malatte Infettive,2n2-3,1948,3rd Floor,Row K,,
Atti e Reniconti della Academia Medico-Chirurgica di Perugia,7,,3rd Floor,Row K,,
Attualita Ospedaliera Italiana,1,1961,7th Floor,Row J,,
Atualidades Medico-Sanitarias,6-12,1949-56,7th Floor,Row J,,
Atualizacao Terapeutica,n/a,1959,7th Floor,Row J,,
Atulidades Medico-Sanitarias,4-5,,3rd Floor,Row K,,
Audiology,10-36,1971-97,7th Floor,Row J,,
Aureomycin Digest,1-4,1950-53,7th Floor,Row J,,
Aus Natur und Museum,53-56,,3rd Floor,Row K,,
Auslese der Zahnaerztlichen Fachliteratur,1-23,1954-56,7th Floor,Row J,,
Austin Flint Medical Journal,1-2,,3rd Floor,Row K,,
Australasian Annals of Medicine,1-19,1952-70,7th Floor,Row J,,
Australasian Journal of Dermatology,9-41,1967-2000,7th Floor,Row J,,
Australasian Medical Congress British Medical Association,,"192,319,271,929",3rd Floor,Row K,,
Australasian Medical Congress Eight Session,1-3,,3rd Floor,Row K,,
Australasian Medical Congress Eleventh Session,,1920,3rd Floor,Row K,,
Australasian Medical Congress Ninth Session,1-2,,3rd Floor,Row K,,
Australasian Medical Congress Seventh Session,,1905,3rd Floor,Row K,,
Australasian Medical Gazette,1-35,,3rd Floor,Row K,,
Australasian Radiology,10-34,1966-90,7th Floor,Row J,,
Australian and New Zealand Journal of Medicine,1-30,1971-2000,7th Floor,Row I,,
Australian and New Zealand Journal of Obstetrics and Gynaecology (unbound placed on shelf),1-46,1961-2007,7th Floor,Row I,,
Australian and New Zealand Journal of Ophthalmology,13-27,1985-99,7th Floor,Row I,,
Australian and New Zealand Journal of Psychiatry,1-24,1967-90,7th Floor,Row I,,
Australian and New Zealand Journal of Surgery,1-18,,3rd Floor,Row K,,
Australian and New Zealand Journal of Surgery,20-70,1950-2000,7th Floor,Row I,,
Australian Dental Summary,7-10,,3rd Floor,Row K,,
Australian Family Physician,9-29,1980-2000,7th Floor,Row J,,
Australian Institute of Tropical Medicine,"1-2,4",,3rd Floor,Row K,,
Australian Journal of Dentistry,1-53,,3rd Floor,Row K,,
Australian Journal of Dermatology,1-8,1951-66,7th Floor,Row I,,
Australian Journal of Experimental Biology and Medical Science,1-27,,3rd Floor,Row K,,
Australian Journal of Experimental Biology and Medical Science,28-64,1950-86,7th Floor,Row I,,
Australian Journal of Mental Retardation,1-5,1970-79,7th Floor,Row I,,
Australian Journal of Ophthalmology,1-12,1973-84,7th Floor,Row I,,
Australian Journal of Science,1-10,,3rd Floor,Row K,,
Australian Journal of Science,11-32,1948-70,7th Floor,Row I,,
"Australian Journal of Scientific Research, Series B Biological Sciences",1-5,,3rd Floor,Row K,,
"Australian Journal of Scientific Research. Series B, Biological Sciences",3-5,1950-52,7th Floor,Row I,,
Australian Medical Journal,1-17/ns1-17,,3rd Floor,Row K,,
Australian Medical Journal,3s 15-16/4s 1-3,,3rd Floor,Row K,,
Australian Modern Hospital,1,,3rd Floor,Row K,,
Australian Modern Hospital,1-5,1950-54,7th Floor,Row I,,
Australian Paediatric Journal (Supplements bound with journal),1-25,1965-89,7th Floor,Row I,,
Australian Practitioner,1,,3rd Floor,Row K,,
Australian Science Abstracts,23-32,1944-54,7th Floor,Row I,,
Austrian Medical Bulletin,,"1945 NV-DE/1946 JA,AP-M",3rd Floor,Row K,,
Auszuege aus Gerichtlichen Entscheidungen…,1-10,,3rd Floor,Row K,,
Avance Medical,,1940-1941,1st Floor,"Row K, bank 7",,
Avenir Medical,"1-2,14,23-42",,3rd Floor,Row K,,
Avenir Medical,43-55,1947-58,7th Floor,Row I,,
"Aviation, Space and Environmental Medicine",46-65,1975-94,7th Floor,Row I,,
Azerbaidzhankii Meditsinskii Zhurnal,2-48,1957-71,7th Floor,Row I,,
Azerbaidzhanskii Meditsinskii Zhurnal,,1932-1939,3rd Floor,Row K,,
Azione Antitubercolare,5-9/10n1-4,,3rd Floor,Row K,,
Bacillus,,1901,3rd Floor,Row K,,
Bacterial Therapist,1-12,,3rd Floor,Row K,,
Bacteriological Proceedings,N/A,1950-1971,6th Floor,Row A,1,
Bacteriological Reviews,1-13,,3rd Floor,Row K,,
Bacteriological Reviews,v14-41,1950-1977,6th Floor,Row A,1,
Bacteriological World,1,,3rd Floor,Row K,,
Bacteriological World and Modern Medicine,1,1891-1892,3rd Floor,Row K,,
Bahia Medica,"1-14,16-17",,3rd Floor,Row K,,
Baja California Medica,"v1N1-3/v2N8-10,12/v3N18",1958-1960,6th Floor,Row A,1,
Balnecologe,1-11,,3rd Floor,Row K,,
Balneologia et Balneotherapia,v18-20,"1957, 1959, 1961",6th Floor,Row A,1,
Baltimore Dental Record,1,,3rd Floor,Row K,,
Baltimore Family Health Journal,1-2inc,,3rd Floor,Row K,,
Baltimore Journal of Medicine,1,,3rd Floor,Row K,,
Baltimore Medical and Physical Recorder,1-2,,3rd Floor,Row K,,
Baltimore Medical and Surgical Journal and Review,1-2,,3rd Floor,Row K,,
Baltimore Medical and Surgical Record,1,,3rd Floor,Row K,,
Baltimore Medical Journal,1-2,,3rd Floor,Row K,,
Baltimore Philosophical Journal and Review,1,,3rd Floor,Row K,,
Baltimore Physician and Surgeon,2-4 inc,,3rd Floor,Row K,,
Balyeat Hay Fever and Asthma Clinic,17,1947,3rd Floor,Row K,,
Balyeat Hay Fever and Asthma Clinic Quarterly,v21,1951,6th Floor,Row A,1,
Balyeat-Bower Hay Fever and Asthma Clinic Quaterly,7-8,,3rd Floor,Row K,,
Basic Research in Cardiology,v68-86,1973-1991,6th Floor,Row A,1,
Basimetry,v1-6,1958-1963,6th Floor,Row A,1,
Baskerville Chemical Journal of the City College of New York,v1-8/v10/v12-13/v16/v17,1950-1958/1960/1963-1964/1967/1969,6th Floor,Row A,1,
Bassini,"v1N2-3/v2N1,4",1956-1957,6th Floor,Row A,1,
Bayer Symposium,v1-3/v5-9,1968-1970/1973/1976/1979/1985,6th Floor,Row A,1,
Bayerisches Aerzteblatt,1-3,,3rd Floor,Row K,,
BBB Revista dos Editores,v7-9,1959-1961,6th Floor,Row A,1,
Behavior Monographs,2-4,,3rd Floor,Row K,,
Behavior Research and Therapy,v5-v29,1967-1991,6th Floor,Row A,1,
Behavior Therapy,v1-9,1970-1978,6th Floor,Row A,1,
Behavioral Biology,v7-24,1972-1978,6th Floor,Row A,1,
Behavioral Science,v1-23,1956-1978,6th Floor,Row A,1,
Behring Institute Mitteilungen = Behring Institute Research Communications,v51/v79-82/v84-88,1972/1986-1991,6th Floor,Row A,1,
Behringewerk-Mitteilungen,1-9,,3rd Floor,Row K,,
Behringwerk Mitteilungen,v35-39/v44/v47-50,1958-1970,6th Floor,Row A,1,
Beiheft zur Schweizerischen Zeitschrift fur Psychologie,1-18,,3rd Floor,Row K,,
Beihefte der Internationalen Zeitschrift fur Psychoanalyse,1-3,,3rd Floor,Row K,,
"Beihefte Zeitschrift fur Angewandte,Psychologie und Charakterkunde",v93,1952,6th Floor,Row A,1,
Beihefte zum Archiv Fuer Kinderheilkunde,v26-66,1951-1971,6th Floor,Row A,1,
Beihefte zum Archiv fur Schifts-und Tropen-Hygiene,"11-18,20-39",,3rd Floor,Row K,,
Beihefte zum Zentralblatt fur Arbeitsmedizin und Arbeitsschutz,v4-9,1957-1967,6th Floor,Row A,1,
Beihefte zum Zentralblatt fur Gewerbehygiene und Unfallverhutung,1-29,,3rd Floor,Row K,,
Beihefte zur Archiv fur Kinderheilkunde,1-25,,3rd Floor,Row K,,
Beihefte zur Medizinischen Klink,"3-10,16,20-27,30-32",,3rd Floor,Row K,,
Beihefte zur Medizinischen Monatsschrift,v7-10,1949-1950,6th Floor,Row A,1,
Beihefte zur Schweizerischen Zeitschrift fur Psychologie und Ihre Anwendungen,v19-54,1950-1971,6th Floor,Row A,1,
Beihefte zur Zeitschrift die Ernahrung,"1-5,8-11","1937-1938,1941-1943",3rd Floor,Row K,,
Beihefte zur Zeitschrift fur Angewandte Psychologie,1-91,1911-1942,3rd Floor,Row K,,
Beitraege aus der Allgemeinen Medizin,"1,3-5",,3rd Floor,Row K,,
Beitraege aus der Allgemeinen Medizin,v6-22,1948-1971,6th Floor,Row A,2,
Beitraege zum Betriebsgesundheitsschutz,v1-17,1959-1971,6th Floor,Row A,2,
Beitraege zur Aerztlichen Praxis,1-2,,3rd Floor,Row K,,
Beitraege zur Akustik und Musikwissenschaft,1-9,,3rd Floor,Row K,,
Beitraege zur Anatomie Funktioneller Systeme,1-4/5n2-4,,3rd Floor,Row K,,
Beitraege zur Anatomie und Physiologie,1-12,,3rd Floor,Row K,,
"Beitraege zur Anatomie, Physiologie und Therapie des Ohers der Nase und des Halses",1-24,,3rd Floor,Row K,,
Beitraege zur Augenheilkunde,1-10,,3rd Floor,Row K,,
Beitraege zur Biologie der Pflanzen,4-27,,3rd Floor,Row K,,
Beitraege zur Biologie der Pflanzen,v28-48,1950-1972,6th Floor,Row A,2,
Beitraege zur Carcinomforschung,1-3,,3rd Floor,Row K,,
Beitraege zur Chemischen Physiologie und Pathologie,1-11,,3rd Floor,Row K,,
Beitraege zur Erforschung der Menstrauation,1,,3rd Floor,Row K,,
